competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Probability_World_Record_Breaker,World_Record_Correct,Actual_World_Record_Breaker,Actual_National_Record_Breaker,Actual_Personal_Best_Breaker
South Africa,4x400-metres-relay,male,RSA,177.5,Yes,0.9994814,No,No,Yes,Yes
Botswana,4x400-metres-relay,male,BOT,177.68,Yes,0.99878293,No,No,No,No
Botswana,4x400-metres-relay,male,BOT,177.76,Yes,0.99878293,No,No,No,No
United States,4x400-metres-relay,male,USA,177.82999999999998,Yes,0.9995541,No,No,No,No
South Africa,4x400-metres-relay,male,RSA,177.82999999999998,Yes,0.9994814,No,No,Yes,Yes
Belgium,4x400-metres-relay,male,BEL,177.98,Yes,0.99878293,No,No,No,No
Great Britain & NI,4x400-metres-relay,male,GBR,178.11,Yes,0.99852306,No,No,No,No
Belgium,4x400-metres-relay,male,BEL,178.19,Yes,0.98269963,No,No,No,No
Botswana,4x400-metres-relay,male,BOT,178.27,No,0.0011263593,Yes,No,No,No
United States,4x400-metres-relay,male,USA,178.48,No,0.0030703507,Yes,No,No,No
United States,4x400-metres-relay,male,USA,178.68,No,0.002091164,Yes,No,No,No
France,4x400-metres-relay,male,FRA,178.8,No,0.0007666675,Yes,No,No,No
South Africa,4x400-metres-relay,male,RSA,178.81,No,0.0017984178,Yes,No,Yes,Yes
Jamaica,4x400-metres-relay,male,JAM,179.13,No,0.0021787353,Yes,No,No,No
Kenya,4x400-metres-relay,male,KEN,179.29,No,0.0017762833,Yes,No,Yes,Yes
Belgium,4x400-metres-relay,male,BEL,179.48,No,0.0007666675,Yes,No,No,No
Portugal,4x400-metres-relay,male,POR,179.7,No,0.0017984178,Yes,No,Unknown,Unknown
Australia,4x400-metres-relay,male,AUS,179.73,No,0.0007666675,Yes,No,No,No
Japan,4x400-metres-relay,male,JPN,179.74,No,0.0017762833,Yes,No,No,No
South Africa,4x400-metres-relay,male,RSA,180.0,No,0.0017984178,Yes,No,No,No
Qatar,4x400-metres-relay,male,QAT,180.15,No,0.0017984178,Yes,No,Yes,Yes
Netherlands,4x400-metres-relay,male,NED,180.23,No,0.0017984178,Yes,No,No,No
Qatar,4x400-metres-relay,male,QAT,180.29,No,0.0017984178,Yes,No,Yes,Yes
France,4x400-metres-relay,male,FRA,180.3,No,0.0007666675,Yes,No,No,No
Kenya,4x400-metres-relay,male,KEN,180.39,No,0.0017762833,Yes,No,No,No
South Florida,4x400-metres-relay,male,INT,180.42,No,0.0008155273,Yes,No,No,Unknown
Texas A&M,4x400-metres-relay,male,INT,180.73,No,0.0008155273,Yes,No,No,No
Kenya,4x400-metres-relay,male,KEN,180.76,No,0.0017762833,Yes,No,No,No
PR of China,4x400-metres-relay,male,CHN,180.77,No,0.0007666675,Yes,No,Unknown,Unknown
Kenya,4x400-metres-relay,male,KEN,180.87,No,0.0017762833,Yes,No,No,No
Kenya,4x400-metres-relay,male,KEN,180.88,No,0.0017762833,Yes,No,No,No
Kenya Police,4x400-metres-relay,male,KEN,180.99,No,0.0017762833,Yes,No,No,Unknown
United States,4x400-metres-relay,male,USA,181.06,No,0.002091164,Yes,No,No,No
Brazil,4x400-metres-relay,male,BRA,181.14,No,0.0007666675,Yes,No,No,No
United States,4x400-metres-relay,male,USA,181.23,No,0.002091164,Yes,No,No,No
Botswana,4x400-metres-relay,male,BOT,181.23,No,0.0007666675,Yes,No,No,No
Netherlands,4x400-metres-relay,male,NED,181.32,No,0.0017984178,Yes,No,No,No
Belgium,4x400-metres-relay,male,BEL,181.35,No,0.0007666675,Yes,No,No,No
United States,4x400-metres-relay,male,USA,181.37,No,0.002091164,Yes,No,No,No
