competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Probability_World_Record_Breaker,World_Record_Correct,Actual_World_Record_Breaker,Actual_National_Record_Breaker,Actual_Personal_Best_Breaker
United States,4x400-metres-relay,female,USA,196.61,Yes,0.9992804,No,No,No,No
Jamaica,4x400-metres-relay,female,JAM,199.25,Yes,0.9983993,No,No,No,No
Netherlands,4x400-metres-relay,female,NED,200.18,Yes,0.97022915,No,No,Yes,Yes
Belgium,4x400-metres-relay,female,BEL,202.15,No,0.00065012375,Yes,No,No,No
United States,4x400-metres-relay,female,USA,202.53,No,0.0014460868,Yes,No,No,No
Jamaica,4x400-metres-relay,female,JAM,202.77,No,0.00065012375,Yes,No,No,No
Poland,4x400-metres-relay,female,POL,202.91,No,0.00065012375,Yes,No,No,No
Captain Athletics,4x400-metres-relay,female,USA,203.24,No,0.0014460868,Yes,No,No,Unknown
Cique Elite Track Club,4x400-metres-relay,female,USA,203.41,No,0.0014460868,Yes,No,No,Unknown
Georgia,4x400-metres-relay,female,INT,203.62,No,0.00065012375,Yes,No,No,Unknown
Arkansas,4x400-metres-relay,female,USA,203.69,No,0.0014460868,Yes,No,No,No
Norway,4x400-metres-relay,female,NOR,203.71,No,0.00065012375,Yes,No,Unknown,Unknown
Norway,4x400-metres-relay,female,NOR,203.84,No,0.00065012375,Yes,No,Unknown,Unknown
Belgium,4x400-metres-relay,female,BEL,203.96,No,0.00065012375,Yes,No,No,No
Netherlands,4x400-metres-relay,female,NED,204.03,No,0.00065012375,Yes,No,No,No
France,4x400-metres-relay,female,FRA,204.08,No,0.00065012375,Yes,No,No,No
Spain,4x400-metres-relay,female,ESP,204.13,No,0.00065012375,Yes,No,Unknown,Unknown
Arkansas,4x400-metres-relay,female,INT,204.25,No,0.00065012375,Yes,No,No,No
South Carolina,4x400-metres-relay,female,USA,204.26,No,0.0014460868,Yes,No,No,Yes
France,4x400-metres-relay,female,FRA,204.33,No,0.00065012375,Yes,No,No,No
Netherlands,4x400-metres-relay,female,NED,204.34,No,0.00065012375,Yes,No,No,No
Poland,4x400-metres-relay,female,POL,204.39,No,0.00065012375,Yes,No,No,No
