competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Actual_World_Record_Breaker,Prediction_Correct
South Africa,4x400-metres-relay,male,RSA,177.5,Yes,No,No
Retshidisitswe MLENGA,100-metres,male,RSA,9.99,Yes,No,No
Bayanda WALAZA,100-metres,male,RSA,9.99,Yes,No,No
Akani SIMBINE,100-metres,male,RSA,9.99,Yes,No,No
Kishane THOMPSON,100-metres,male,JAM,9.99,Yes,No,No
Ackeem BLAKE,100-metres,male,JAM,9.99,Yes,No,No
Bayanda WALAZA,100-metres,male,RSA,9.99,Yes,No,No
Gift LEOTLELA,100-metres,male,RSA,9.99,Yes,No,No
Felipe BARDI,100-metres,male,BRA,9.99,Yes,No,No
T'Mars MCCALLUM,100-metres,male,USA,9.99,Yes,No,No
