competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_National_Record_Breaker,Actual_National_Record_Breaker,Prediction_Correct
Zaynab DOSSO,60-metres,female,ITA,7.07,Yes,Yes,Yes
Lisa ROOMS,3000-metres,female,BEL,527.74,Yes,Yes,Yes
Oratile NOWE,800-metres,female,BOT,119.58,Yes,Yes,Yes
Maia MCCOY,100-metres,female,LBR,11.16,Yes,Yes,Yes
Torrie LEWIS,60-metres,female,AUS,7.14,Yes,Yes,Yes
Martina WEIL,400-metres,female,CHI,50.52,Yes,Yes,Yes
Destiny SMITH-BARNETT,100-metres,female,LBR,11.28,Yes,Yes,Yes
Australia Gold,4x100-metres-relay,female,AUS,42.84,Yes,Yes,Yes
Boglárka TAKÁCS,60-metres,female,HUN,7.15,Yes,Yes,Yes
Martina WEIL,200-metres,female,CHI,22.91,Yes,Yes,Yes
