competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_Personal_Best_Breaker,Actual_Personal_Best_Breaker,Prediction_Correct
Isabella WHITTAKER,400-metres,female,USA,50.86,Yes,Yes,Yes
Isabella WHITTAKER,400-metres,female,USA,49.59,Yes,Yes,Yes
Martina WEIL,400-metres,female,CHI,49.83,Yes,Yes,Yes
Henriette JÆGER,400-metres,female,NOR,49.83,Yes,Yes,Yes
Elise COOPER,300-metres,female,USA,36.96,Yes,Yes,Yes
Lynna IRBY-JACKSON,400-metres,female,USA,49.82,Yes,Yes,Yes
Elise COOPER,300-metres,female,USA,36.96,Yes,Yes,Yes
Anita HORVAT,300-metres,female,SLO,36.99,Yes,Yes,Yes
Sydney SUTTON,300-metres,female,USA,37.0,Yes,Yes,Yes
Evelis AGUILAR,400-metres,female,COL,49.8,Yes,Yes,Yes
