competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Actual_World_Record_Breaker,Prediction_Correct
United States,4x400-metres-relay,female,USA,196.61,Yes,No,No
Paula Milena TORRES,35-kilometres-race-walk,female,ECU,9764.0,Yes,No,No
Danielle WILLIAMS,100-metres-hurdles,female,JAM,12.51,Yes,No,No
Devynne CHARLTON,100-metres-hurdles,female,BAH,12.52,Yes,No,No
Ditaji KAMBUNDJI,100-metres-hurdles,female,SUI,12.52,Yes,No,No
Katarzyna ZDZIEBŁO,35-kilometres-race-walk,female,POL,9877.0,Yes,No,No
Alegna GONZÁLEZ,35-kilometres-race-walk,female,MEX,9868.0,Yes,No,No
Paula Milena TORRES,35-kilometres-race-walk,female,ECU,9866.0,Yes,No,No
Lorena ARENAS,35-kilometres-race-walk,female,COL,9857.0,Yes,No,No
Li PENG,35-kilometres-race-walk,female,CHN,9809.0,Yes,No,No
